,Teams,img
0,Arsenal,https://resources.premierleague.com/premierleague/badges/25/t3.png
1,Aston Villa,https://resources.premierleague.com/premierleague/badges/25/t7.png
2,Brentford,https://resources.premierleague.com/premierleague/badges/25/t94.png
3,Brighton,https://resources.premierleague.com/premierleague/badges/25/t36.png
4,Burnley,https://resources.premierleague.com/premierleague/badges/25/t90.png
5,Chelsea,https://resources.premierleague.com/premierleague/badges/25/t8.png
6,Crystal Palace,https://resources.premierleague.com/premierleague/badges/25/t31.png
7,Everton,https://resources.premierleague.com/premierleague/badges/25/t11.png
8,Leeds,https://resources.premierleague.com/premierleague/badges/25/t2.png
9,Leicester,https://resources.premierleague.com/premierleague/badges/25/t13.png
10,Liverpool,https://resources.premierleague.com/premierleague/badges/25/t14.png
11,Man City,https://resources.premierleague.com/premierleague/badges/25/t43.png
12,Man United,https://resources.premierleague.com/premierleague/badges/25/t1.png
13,Newcastle,https://resources.premierleague.com/premierleague/badges/25/t4.png
14,Norwich,https://resources.premierleague.com/premierleague/badges/25/t45.png
15,Southampton,https://resources.premierleague.com/premierleague/badges/25/t20.png
16,Tottenham,https://resources.premierleague.com/premierleague/badges/25/t6.png
17,Watford,https://resources.premierleague.com/premierleague/badges/25/t57.png
18,West Ham,https://resources.premierleague.com/premierleague/badges/25/t21.png
19,Wolves,https://resources.premierleague.com/premierleague/badges/25/t39.png
