,title,name,type,img
0,Historical Figures (1900s),Joseph Stalin,ENTJ,https://www.personality-database.com/profile_images/310.png
1,Historical Figures (1900s),Martin Luther King Jr.,ENFJ,https://www.personality-database.com/profile_images/2194.png
2,Historical Figures (1900s),Mustafa KemaI Atatürk,ENTJ,https://www.personality-database.com/profile_images/9035.png
3,Historical Figures (1st Millenium BCE),Alexander the Great,ESTP,https://www.personality-database.com/profile_images/308.png
4,Historical Figures (1st Millenium BCE),Cleopatra,ENTJ,https://www.personality-database.com/profile_images/21063.png
5,Historical Figures (100's),Marcus Aurelius,INFJ,https://www.personality-database.com/profile_images/35765.png
6,Historical Figures (1400s),Joan of Arc,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
7,Historical Figures (1st Millenium BCE),Julius Caesar,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
8,Historical Figures (1900s),Benito Mussolini,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
9,Historical Figures (1900s),Grigori Rasputin,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
10,Historical Figures (1900s),Vladimir Lenin,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
11,Historical Figures (1900s),Mohandas “Mahatma” Gandhi,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
12,Historical Figures (1900s),Malcolm X,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
13,Historical Figures (1900s),"Ernesto ""Che"" Guevara",ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
14,Historical Figures (1st Millenium BCE),Sun Tzu,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
15,Historical Figures (1900s),Margaret Thatcher,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
16,Historical Figures (1900s),Winston Churchill,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
17,Historical Figures (1900s),FideI Castro,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
18,Historical Figures (1500s),Henry VIII,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
19,Historical Figures (1900s),Nelson Mandela,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
20,Historical Figures (1st Century CE),Augustus,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
21,Historical Figures (1700s),Marie Antoinette,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
22,Historical Figures (1700s),Alexander Hamilton,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
23,Historical Figures (1400s),Christopher Columbus,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
24,Historical Figures (1800s),Otto von Bismarck,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
25,Historical Figures (1st Century CE),Nero,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
26,Historical Figures (1400s),Vlad III Dracula,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
27,Historical Figures (1st Millenium BCE),Cicero,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
28,Historical Figures (1900s),Leon Trotsky,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
29,Historical Figures (1500s),Anne Boleyn,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
30,Historical Figures (1700s),Catherine the Great,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
31,Historical Figures (1500s),Elizabeth I of England,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
32,Historical Figures (1900s),Saddam Hussein,ESTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
33,Historical Figures (1st Millenium BCE),Hannibal,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
34,Historical Figures (1600s),"Peter I, the Great",ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
35,Historical Figures (1500s),Oda Nobunaga,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
36,Historical Figures (1900s),Muammar Gaddafi,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
