,teams,image
0,AFC Bournemouth,https://www.myfootballfacts.com/wp-content/uploads/2017/02/c1579ce26b189eabe2bbc3f470da82b7.jpg
1,Arsenal,https://www.myfootballfacts.com/wp-content/uploads/2017/02/a05cfc9b35806afe2fa09114bb13c6ee.jpg
2,Aston Villa,https://www.myfootballfacts.com/wp-content/uploads/2017/02/76b3085d270470b1b015c4da1c36f049.jpg
3,Barnsley,https://www.myfootballfacts.com/wp-content/uploads/2017/03/dd4fe43366af9df9f0cea9f765d88788.jpg
4,Birmingham City,https://www.myfootballfacts.com/wp-content/uploads/2017/02/1a45c0a8f0fdcf9c72167af1454c487a.jpg
5,Blackburn Rovers,https://www.myfootballfacts.com/wp-content/uploads/2017/02/6439cfaed8e3fada1d4337944bff766c.jpg
6,Blackpool,https://www.myfootballfacts.com/wp-content/uploads/2017/02/b5a6428bed8d4898a6248713c889e9a2.jpg
7,Bolton Wanderers,https://www.myfootballfacts.com/wp-content/uploads/2019/05/2dfc27c9bfc2bf51c95190aa2bd1319f.jpg
8,Bradford City,https://www.myfootballfacts.com/wp-content/uploads/2017/04/d6f362ff6dfac0418ef1adddf1d71810.jpg
9,Brentford,https://www.myfootballfacts.com/wp-content/uploads/2019/05/de83e026611872819514883f6cca9fd9.png
10,Brighton and Hove Albion,https://www.myfootballfacts.com/wp-content/uploads/2017/08/5704c2374dc19b8b94fa39957f331ab3.png
11,Burnley,https://www.myfootballfacts.com/wp-content/uploads/2017/02/758d4c688f7adaf7b5846a5a47cd8511.jpg
12,Cardiff City,https://www.myfootballfacts.com/wp-content/uploads/2018/11/4c55f0509339ab890dd9f0ef84b14061-e1570242026769.jpg
13,Charlton Athletic,https://www.myfootballfacts.com/wp-content/uploads/2020/10/ab3c151c4269c018ea340852c6a13a4b.jpg
14,Chelsea,https://www.myfootballfacts.com/wp-content/uploads/2017/02/ed1b9e99d8cd0bedb78676266bcc75e0.jpg
15,Coventry City,https://www.myfootballfacts.com/wp-content/uploads/2017/04/743cd970ab89b25e749d28061adf4f05.jpg
16,Crystal Palace,https://www.myfootballfacts.com/wp-content/uploads/2017/02/ed4602934128ff2b18a0aa97e5062662.jpg
17,Derby County,https://www.myfootballfacts.com/wp-content/uploads/2019/05/26213941bdb6c8c3228922d6c4fc2d18.jpg
18,Everton,https://www.myfootballfacts.com/wp-content/uploads/2017/02/97efa090a24aa224d1257bcab55013d6.jpg
19,Fulham,https://www.myfootballfacts.com/wp-content/uploads/2017/02/93ceb50b0abdd42a520ad6f721a127a5.jpg
20,Huddersfield Town,https://www.myfootballfacts.com/wp-content/uploads/2017/03/5dfe4c2c2d75087eba99db2951ce38f0.jpg
21,Hull City,https://www.myfootballfacts.com/wp-content/uploads/2017/02/44f5a79085a8096a6b0dcdc9aca014d1.jpg
22,Ipswich Town,https://www.myfootballfacts.com/wp-content/uploads/2020/10/b3639c9f548aa2a23adbe603b40899cd.jpg
23,Leeds United,https://www.myfootballfacts.com/wp-content/uploads/2020/09/fd5b7abb8a659b8da1881587e1e10aa6-e1602686942486.png
24,Leicester City,https://www.myfootballfacts.com/wp-content/uploads/2017/02/69c34e8d17bc3be4c44134a23a16ff88.jpg
25,Liverpool,https://www.myfootballfacts.com/wp-content/uploads/2017/02/61d57a64f8605d7ccefd5e84b045b00d.jpg
26,Manchester City,https://www.myfootballfacts.com/wp-content/uploads/2017/02/51313252f15dbb2cf97c4ea278a73d90.jpg
27,Manchester United,https://www.myfootballfacts.com/wp-content/uploads/2017/02/7b0ab2e81191e4281fb5799dfbc0ad69.jpg
28,Middlesbrough,https://www.myfootballfacts.com/wp-content/uploads/2017/02/1d066d4393280f8326e2e81ce1a3f8de.jpg
29,Newcastle United,https://www.myfootballfacts.com/wp-content/uploads/2017/02/5066c507a67fe88f89899b406a18997a.jpg
30,Norwich City,https://www.myfootballfacts.com/wp-content/uploads/2017/02/7aeabe75ecd91b5babe4811978eaa088.jpg
31,Nottingham Forest,https://www.myfootballfacts.com/wp-content/uploads/2021/05/e95a77324db0efa5891d1815dde4468e.jpg
32,Oldham Athletic,https://www.myfootballfacts.com/wp-content/uploads/2017/04/9e6e50864d75c1e4e460a244b5ca6bbc.jpg
33,Portsmouth,https://www.myfootballfacts.com/wp-content/uploads/2019/05/0279e1589bdbcfbccda039c7dfcbe2f4.png
34,Queens Park Rangers,https://www.myfootballfacts.com/wp-content/uploads/2020/10/23aba9b796d9709bd9ff886184cd2f39.jpg
35,Reading,https://www.myfootballfacts.com/wp-content/uploads/2017/02/c0ebb70a0c73f1060ade1ebff121123d.jpg
36,Sheffield United,https://www.myfootballfacts.com/wp-content/uploads/2017/05/90045c08e717d78f87704f5ea12250c1.jpg
37,Sheffield Wednesday,https://www.myfootballfacts.com/wp-content/uploads/2017/03/fb1ff48261263a7a3b66761a269bc740-e1502533409799.jpg
38,Southampton,https://www.myfootballfacts.com/wp-content/uploads/2017/02/276c555c694a8cab56e12a1631091724.jpg
39,Stoke City,https://www.myfootballfacts.com/wp-content/uploads/2017/02/5d036ab388be8398ed7e4fa7e064066d.jpg
40,Sunderland,https://www.myfootballfacts.com/wp-content/uploads/2017/02/3a3ae2b17fde5e93672da29d5d301aba.jpg
41,Swansea City,https://www.myfootballfacts.com/wp-content/uploads/2017/02/23daad811d6dc0a6ceaeae925a5eee76.jpg
42,Swindon Town,https://www.myfootballfacts.com/wp-content/uploads/2017/04/4ceb69d5bc550ca4d7ed0682c9051c35.jpg
43,Tottenham Hotspur,https://www.myfootballfacts.com/wp-content/uploads/2017/02/c4fda9d23fd5ffe01539ec983efd5163.jpg
