,Teams,image
0,Arsenal,https://resources.premierleague.com/premierleague/badges/50/t3.png
1,Aston Villa,https://resources.premierleague.com/premierleague/badges/50/t7.png
2,Brentford,https://resources.premierleague.com/premierleague/badges/50/t94.png
3,Brighton,https://resources.premierleague.com/premierleague/badges/50/t36.png
4,Burnley,https://resources.premierleague.com/premierleague/badges/50/t90.png
5,Chelsea,https://resources.premierleague.com/premierleague/badges/50/t8.png
6,Crystal Palace,https://resources.premierleague.com/premierleague/badges/50/t31.png
7,Everton,https://resources.premierleague.com/premierleague/badges/50/t11.png
8,Leeds,https://resources.premierleague.com/premierleague/badges/50/t2.png
9,Leicester,https://resources.premierleague.com/premierleague/badges/50/t13.png
10,Liverpool,https://resources.premierleague.com/premierleague/badges/50/t14.png
11,Man City,https://resources.premierleague.com/premierleague/badges/50/t43.png
12,Man United,https://resources.premierleague.com/premierleague/badges/50/t1.png
13,Newcastle,https://resources.premierleague.com/premierleague/badges/50/t4.png
14,Norwich,https://resources.premierleague.com/premierleague/badges/50/t45.png
15,Southampton,https://resources.premierleague.com/premierleague/badges/50/t20.png
16,Tottenham,https://resources.premierleague.com/premierleague/badges/50/t6.png
17,Watford,https://resources.premierleague.com/premierleague/badges/50/t57.png
18,West Ham,https://resources.premierleague.com/premierleague/badges/50/t21.png
19,Wolves,https://resources.premierleague.com/premierleague/badges/50/t39.png
20,Bournemouth,https://resources.premierleague.com/premierleague/badges/50/t91.png
21,Barnsley,https://resources.premierleague.com/premierleague/badges/50/t37.png
22,Birmingham,https://resources.premierleague.com/premierleague/badges/50/t41.png
23,Blackburn,https://resources.premierleague.com/premierleague/badges/50/t5.png
24,Bristol,https://resources.premierleague.com/premierleague/badges/50/t36.png
25,Cardiff,https://resources.premierleague.com/premierleague/badges/50/t97.png
26,Coventry,https://resources.premierleague.com/premierleague/badges/50/t9.png
27,Derby,https://resources.premierleague.com/premierleague/badges/50/t24.png
28,Fulham,https://resources.premierleague.com/premierleague/badges/50/t54.png
29,Huddersfield,https://resources.premierleague.com/premierleague/badges/50/t38.png
30,Hull,https://resources.premierleague.com/premierleague/badges/50/t88.png
31,Ipswich,https://resources.premierleague.com/premierleague/badges/50/t40.png
32,Middlesbrough,https://resources.premierleague.com/premierleague/badges/50/t25.png
33,Blackpool,https://resources.premierleague.com/premierleague/badges/50/t92.png
34,Bolton,https://resources.premierleague.com/premierleague/badges/50/t30.png
35,Portsmouth,https://resources.premierleague.com/premierleague/badges/50/t47.png
36,Bradford,https://resources.premierleague.com/premierleague/badges/50/t94.png
37,QPR,https://resources.premierleague.com/premierleague/badges/50/t52.png
38,Reading,https://resources.premierleague.com/premierleague/badges/50/t108.png
39,Sheffield United,https://resources.premierleague.com/premierleague/badges/50/t49.png
40,Stoke,https://resources.premierleague.com/premierleague/badges/50/t110.png
41,Swansea,https://resources.premierleague.com/premierleague/badges/50/t80.png
42,Wigan,https://resources.premierleague.com/premierleague/badges/50/t111.png
43,West Brom,https://resources.premierleague.com/premierleague/badges/50/t35.png
